method,dataset,direction,T,mean_accuracy,std_accuracy,mean_percent,std_percent,trials
curriculum_alpha2,description,given_text,4,0.9048526863084921,0.006424177813813041,90.48526863084922,0.6424177813813041,"[0.9090121317157712, 0.8951473136915078, 0.9064124783362218, 0.9003466204506065, 0.9133448873483535]"
curriculum_alpha2,description,given_text,10,0.8341421143847487,0.0036600887490369034,83.41421143847487,0.36600887490369033,"[0.8336221837088388, 0.8275563258232236, 0.8370883882149047, 0.8344887348353552, 0.8379549393414212]"
curriculum_alpha2,description,given_text,20,0.781109185441941,0.0044726127904901065,78.11091854419409,0.44726127904901064,"[0.7746967071057193, 0.7868284228769498, 0.7842287694974004, 0.7824956672443674, 0.7772963604852686]"
curriculum_alpha2,pharmacodynamics,given_molecule,4,0.8533333333333333,0.0037017065149728,85.33333333333333,0.37017065149728,"[0.8567164179104477, 0.8477611940298507, 0.8577114427860697, 0.8507462686567164, 0.8537313432835821]"
curriculum_alpha2,pharmacodynamics,given_molecule,10,0.7649751243781094,0.003950135968413784,76.49751243781094,0.3950135968413784,"[0.7631840796019901, 0.7681592039800995, 0.7661691542288557, 0.7691542288557214, 0.7582089552238805]"
curriculum_alpha2,pharmacodynamics,given_molecule,20,0.684776119402985,0.010742582747276255,68.4776119402985,1.0742582747276255,"[0.6935323383084577, 0.6935323383084577, 0.6935323383084577, 0.672636815920398, 0.6706467661691542]"
curriculum_alpha2,pharmacodynamics,given_text,4,0.8354228855721393,0.008688111424056942,83.54228855721392,0.8688111424056942,"[0.8427860696517413, 0.8278606965174129, 0.8487562189054726, 0.8278606965174129, 0.8298507462686567]"
curriculum_alpha2,pharmacodynamics,given_text,10,0.7369154228855722,0.007799370325279751,73.69154228855722,0.7799370325279751,"[0.745273631840796, 0.7333333333333333, 0.7293532338308458, 0.7293532338308458, 0.7472636815920398]"
curriculum_alpha2,pharmacodynamics,given_text,20,0.6587064676616915,0.008009795740297743,65.87064676616914,0.8009795740297744,"[0.6666666666666666, 0.6557213930348259, 0.6497512437810945, 0.6517412935323383, 0.6696517412935323]"
stratified,ATC,given_molecule,4,0.7065513801130695,0.004939792385135264,70.65513801130695,0.49397923851352643,"[0.7126704356501496, 0.7063518456933822, 0.7090123046225474, 0.7070169604256734, 0.6977053541735949]"
stratified,ATC,given_molecule,10,0.5562354506152312,0.0020130024543294346,55.62354506152312,0.20130024543294345,"[0.5527103425340871, 0.5553708014632525, 0.5570335882939808, 0.5580312603924177, 0.5580312603924177]"
stratified,ATC,given_molecule,20,0.46165613568340547,0.003094034812002133,46.16561356834055,0.30940348120021327,"[0.4562687063518457, 0.46092450947788494, 0.4655803126039242, 0.46325241104090453, 0.4622547389424676]"
stratified,ATC,given_text,4,0.6814100432324575,0.002506344354029492,68.14100432324575,0.2506344354029492,"[0.6797472564017293, 0.6784170269371467, 0.6804123711340206, 0.6854007316262055, 0.6830728300631859]"
stratified,ATC,given_text,10,0.5269704023944131,0.00238515744290537,52.69704023944131,0.238515744290537,"[0.5261057532424344, 0.5231127369471233, 0.5304289990023279, 0.527435982707017, 0.5277685400731627]"
stratified,ATC,given_text,20,0.4285999334885268,0.004576260036386989,42.85999334885268,0.45762600363869893,"[0.42800133022946457, 0.4210176255404057, 0.43498503491852347, 0.43099434652477553, 0.42800133022946457]"
stratified,description,given_molecule,4,0.9168110918544194,0.005256759406621524,91.68110918544194,0.5256759406621524,"[0.9237435008665511, 0.9098786828422877, 0.9133448873483535, 0.9220103986135182, 0.9150779896013865]"
stratified,description,given_molecule,10,0.8469670710571924,0.006287125527631555,84.69670710571924,0.6287125527631555,"[0.8561525129982669, 0.8388214904679376, 0.841421143847487, 0.8474870017331022, 0.8509532062391681]"
stratified,description,given_molecule,20,0.7915077989601386,0.007546461371603913,79.15077989601386,0.7546461371603913,"[0.8015597920277296, 0.7816291161178509, 0.7868284228769498, 0.7885615251299827, 0.7989601386481803]"
stratified,description,given_text,4,0.9017331022530328,0.00631096757574804,90.17331022530328,0.631096757574804,"[0.9038128249566725, 0.889948006932409, 0.901213171577123, 0.9081455805892548, 0.9055459272097054]"
stratified,description,given_text,10,0.8284228769497402,0.007923140000459274,82.84228769497402,0.7923140000459273,"[0.8370883882149047, 0.817157712305026, 0.830155979202773, 0.8362218370883883, 0.8214904679376083]"
stratified,description,given_text,20,0.7797227036395147,0.005181946754844366,77.97227036395147,0.5181946754844365,"[0.7850953206239168, 0.7824956672443674, 0.7781629116117851, 0.7824956672443674, 0.770363951473137]"
stratified,pharmacodynamics,given_molecule,4,0.8491542288557214,0.007301069185211592,84.91542288557214,0.7301069185211592,"[0.844776119402985, 0.83681592039801, 0.8557213930348259, 0.8537313432835821, 0.854726368159204]"
stratified,pharmacodynamics,given_molecule,10,0.761592039800995,0.007246623465087807,76.1592039800995,0.7246623465087807,"[0.7651741293532338, 0.7522388059701492, 0.7611940298507462, 0.7731343283582089, 0.7562189054726368]"
stratified,pharmacodynamics,given_molecule,20,0.6805970149253732,0.0075254409556971295,68.05970149253731,0.7525440955697129,"[0.6835820895522388, 0.6706467661691542, 0.6885572139303483, 0.672636815920398, 0.6875621890547263]"
stratified,pharmacodynamics,given_text,4,0.8296517412935323,0.005572139303482602,82.96517412935323,0.5572139303482602,"[0.8308457711442786, 0.835820895522388, 0.8338308457711443, 0.8278606965174129, 0.8199004975124378]"
stratified,pharmacodynamics,given_text,10,0.7313432835820896,0.006807017463278415,73.13432835820896,0.6807017463278415,"[0.7373134328358208, 0.7313432835820896, 0.7333333333333333, 0.736318407960199, 0.718407960199005]"
stratified,pharmacodynamics,given_text,20,0.6610945273631842,0.007900271936827566,66.10945273631842,0.7900271936827565,"[0.6656716417910448, 0.6676616915422886, 0.6616915422885572, 0.6646766169154229, 0.6457711442786069]"
